SENTENCE,ANIMAL,ADVERSE_EFFECT,PREDICTION,LABEL
Drug-induced thrombocytopenia tended to be more frequent in Excluded HIT at the time of HIT suspicion (pâ€‰=â€‰0.073),no animal model,NA,0,1.0
BACKGROUND: Our study sought to investigate the efficacy and safety of bivalirudin versus those of unfractionated heparin (UFH) in patients undergoing extracorporeal membrane oxygenation (ECMO),no animal model,NA,0,1.0
"At 90-days, in-hospital mortality was 50% (DTI) and 61% (UFH), adjusted hazard ratio: 0.81, 95% confidence interval (CI): 0.49-1.32",no animal model,NA,0,1.0
"A rare state of acquired hypercoagulability known as heparin-associated or heparin-induced thrombocytopenia and thrombosis (HATT, HITT) exists",no animal model,NA,0,1.0
"Compared with UFH, bivalirudin significantly reduced the risk of in-circuit thrombosis (OR = 0.44, 95% CI [0.31-0.61], pÂ =Â 0.000), thrombosis (OR = 0.61, 95% CI [0.45-0.83], p=Â 0.002) and hospital mortality (OR = 0.78, 95% CI [0.61-0.99], pÂ =Â 0.04) and had a positive impact on survival ECMO (OR = 1.50, 95% CI [1.04-2.16], p=Â 0.032)",no animal model,NA,0,1.0
Optimal anticoagulation monitoring in patients with extracorporeal membrane oxygenation (ECMO) is fundamental to avoid hemorrhagic and thromboembolic complications,no animal model,NA,0,1.0
"CONCLUSIONS: In this case report, continuous intravenous low molecular weight heparin anticoagulation was used as a safe alternative to ECMO anticoagulation.",no animal model,NA,0,1.0
"Unfortunately, the size, incidence of coagulation complications, and the need for systematic anticoagulation for traditional ECMO devices have prevented widespread use of this lifesaving technology",no animal model,NA,0,1.0
"We reviewed our ECMO experience with regard to the diagnosis of intracranial bleeding, and gave particular attention to the technicians' written records",no animal model,NA,0,1.0
"In conclusion, implementation of a standardized anticoagulation protocol was associated with improved anticoagulation parameters and a decrease in hematologic and neurologic complications, coagulopathy, renal injury, and blood product administration",no animal model,NA,0,1.0
"We hypothesized that surface coating and the ""closed-loop"" design allow the MiECC to safely run with lower ACT levels and that an ACT level of 300â€‰seconds can be safely applied without thromboembolic complications",no animal model,NA,0,1.0
"A substantial increase in the pressure across the ECMO oxygenator was identified, and the diagnosis of type II heparin-induced thrombocytopenia was suspected and confirmed",no animal model,NA,0,1.0
CONCLUSION AND RELEVANCE: Anti-Xa monitoring was associated with a lower hazard of bleeding during tMCS compared to an ACT-based protocol,no animal model,NA,0,1.0
